center,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7
IND804401AAA,3.2516134,0.0,2.8490493,0.0,3.567804,0.86025715,0.0,2.9915168
IND516269AAA,2.702212,0.0,2.1518915,0.0,2.5977428,0.2225817,0.0,2.4572551
IND852118AAA,3.278927,0.0,2.4072227,0.0,3.154866,0.0,0.0,3.0640843
IND733202AAB,3.2193475,0.0,2.5400178,0.12428716,2.886943,0.7310249,0.0,2.815349
IND244501AAA,0.82147336,0.0,0.6760857,0.0,0.96987855,0.0,0.0,0.8473458
IND691551AAA,4.214354,0.0,3.616694,0.0,4.237274,0.8328434,0.0,3.825373
IND814133AAB,3.2708268,0.0,2.887458,0.0,3.3284476,0.0,0.0,3.1414464
IND721133AAA,3.3553445,0.0,2.7014594,0.0,3.3578176,0.14476907,0.0,3.1037118
IND625106AAA,2.323683,0.0,1.6819826,0.0,2.0943232,0.0,0.0,2.141134
IND470227AAB,2.428117,0.0,2.2623432,0.0,2.8417404,0.05639994,0.0,2.4279013
IND688009AAA,2.0244794,0.0,1.5547318,0.0,1.9851213,0.0,0.0,1.9176786
IND821115AAB,8.802314,0.0,6.6540217,0.0,7.669427,0.0,0.0,8.154486
IND142026AAA,2.9955866,0.0,1.9425204,0.0,2.4748142,0.0,0.0,2.7101219
IND201001AAC,3.9995372,0.0,0.99720037,0.0,3.1113026,0.0,0.0,3.4170334
IND791125AAB,0.1904405,0.0,0.089707084,0.0,0.19081014,0.0,0.0,0.20917153
IND248197AAA,0.17243493,0.0,0.16249102,0.0,0.23151216,0.0,0.0,0.10991409
IND443201AAA,3.9200625,0.0,3.3195736,0.0,4.074399,0.6199665,0.0,3.511429
IND638452AAA,1.7308847,0.0,1.3777902,0.0,1.6799577,0.0,0.0,1.6105167
IND136027AAA,3.3063624,0.0,2.6398993,0.0,3.0766904,0.70992035,0.0,2.9009826
IND532001AAB,3.8065016,0.0,2.8512223,0.0,2.9206932,0.0,0.0,3.3896706
IND147201AAA,2.198932,0.0,1.8598422,0.0,2.2395473,0.0,0.0,2.1622798
IND581400AAB,2.5304697,0.0,2.1387196,0.0,2.5875635,0.0,0.0,2.4715872
IND843320AAA,6.6827774,0.0,5.6073656,0.0,6.7793894,0.7858451,0.0,6.1979923
IND332713AAA,2.9940898,0.0,2.2722437,0.0,2.60792,0.1487333,0.0,2.5266953
IND401209AAB,0.45262456,0.0,0.0,0.0,0.0,0.0,0.0,0.34376833
IND281004AAA,2.0057988,0.0,1.6092138,0.0,2.3792782,0.0,0.0,2.0968904
IND425412AAA,3.342871,0.0,2.6787162,0.0,2.9991848,0.0,0.0,3.049051
IND487001AAA,2.9534974,0.0,2.4530528,0.0,3.167074,0.0,0.0,2.8226068
IND561203AAB,3.1154985,0.0,2.422974,0.0,2.9922578,0.12294858,0.0,2.8613644
IND312605AAB,3.0592735,0.0,2.3596814,0.0,2.7420585,0.0,0.0,2.7503893
IND508116AAA,3.9381812,0.0,2.8787649,0.0,3.3591356,0.20845363,0.0,3.4599624
IND276129AAA,3.5732443,0.0,2.9655027,0.0,3.6322107,0.57159173,0.0,3.2483766
IND110064AAB,3.0093362,0.0,2.652599,0.2767491,3.0267599,0.94828904,0.0,2.8202238
IND131028AAA,2.5347004,0.0,2.231503,0.33018595,2.5397284,0.841916,0.0,2.3548295
IND754022AAA,3.5638576,0.0,2.7619143,0.0,3.395002,0.0,0.0,3.3681529
IND638401AAA,2.846517,0.0,2.184831,0.0,2.8397744,0.0,0.0,2.711601
IND244001AAA,3.1952293,0.0,1.8941305,0.0,3.132344,0.0,0.0,3.0666666
IND110052AAA,3.6147163,0.0,0.0,0.0,2.4981387,0.0,0.0,2.5890985
IND395023AAD,11.746369,0.0,9.179723,1.5142505,9.796917,3.1535451,0.0,9.729261
IND700053AAA,5.3459287,0.0,4.030557,0.0,4.7179527,0.0,0.0,4.8953266
