source_center,destination_center,source_name,destination_name,median_factor,total_trips,median_osrm_dist_km,pct_delayed,is_sparse,is_chronically_delayed
IND121004AAB,IND121102AAA,FBD_Balabhgarh_DPC (Haryana),Palwal (Haryana),1.9310344827586206,41,39.8523,1.0,False,True
IND600056AAB,IND600076AAB,MAA_Poonamallee_HB (Tamil Nadu),Chennai_Madhavaram_DPC (Tamil Nadu),1.930930930930931,16,46.066599999999994,1.0,False,True
IND131028AAB,IND251001AAA,Sonipat_Kundli_H (Haryana),Muzaffrngr_MhmodNgr_D (Uttar Pradesh),1.930565088080531,10,117.0308,1.0,False,True
IND721401AAA,IND721306AAA,Contai_Kanakpur_D (West Bengal),Kharagpur_DC (West Bengal),1.9301957831325303,2,88.13534999999999,1.0,True,True
IND431136AAC,IND411033AAA,Aurangabad_Central_H_1 (Maharashtra),Pune_Tathawde_H (Maharashtra),1.9298245614035088,13,235.4623,1.0,False,True
IND609110AAA,IND609602AAA,Sirkazhi_Pngktgudi_D (Tamil Nadu),Karaikal_Thalthru_DC (Pondicherry),1.9291871921182266,8,42.0763,1.0,False,True
IND824101AAA,IND821115AAB,AurngbadBR_Mahindra_D (Bihar),Sasaram_Central_I_2 (Bihar),1.9285714285714288,7,38.8826,1.0,False,True
IND501101AAB,IND501359AAE,Vikarabad_Central_DPP_2 (Telangana),Hyderabad_Shamshbd_H (Telangana),1.9285714285714288,1,72.1443,1.0,True,True
IND131028AAB,IND247667AAB,Sonipat_Kundli_H (Haryana),Roorkee_IOTCEncl_L (Uttarakhand),1.9285714285714286,15,163.7663,1.0,False,True
IND000000ACB,IND421302AAG,Gurgaon_Bilaspur_HB (Haryana),Bhiwandi_Mankoli_HB (Maharashtra),1.9273858921161824,33,1322.4025,1.0,False,True
IND125005AAA,IND000000ACB,Hisar_IndstlAr_I (Haryana),Gurgaon_Bilaspur_HB (Haryana),1.9270072992700729,5,171.9355,1.0,False,True
IND302014AAA,IND000000ACB,Jaipur_Hub (Rajasthan),Gurgaon_Bilaspur_HB (Haryana),1.9268292682926826,23,221.4515,1.0,False,True
IND263601AAA,IND262501AAA,Almora_SuzkiSrv_D (Uttarakhand),Pithorgarh_Kumud_D (Uttarakhand),1.9260940251998377,10,112.36295,1.0,False,True
IND562159AAA,IND562117AAA,Ramanagara_BMRd_DC (Karnataka),Kanakapura_VaniThtr_D (Karnataka),1.9259259259259258,11,28.5816,1.0,False,True
IND507002AAA,IND508207AAB,Khammam_NSTRoad_I (Telangana),Miryalguda_Ragvendr_D (Telangana),1.925373134328358,2,92.23044999999999,1.0,True,True
IND580028AAA,IND591123AAC,Hubli_Adargchi_IP (Karnataka),Ramdurg_GndhiNGR_D (Karnataka),1.9252873563218391,18,111.9425,1.0,False,True
IND562132AAA,IND560058AAB,Bangalore_Nelmngla_H (Karnataka),Bengaluru_Peenya_IP (Karnataka),1.9230769230769234,20,13.5898,0.75,False,True
IND246701AAA,IND246763AAA,Bijnor_NaginaRd_D (Uttar Pradesh),Najibabad_KotdwrRD_D (Uttar Pradesh),1.9230769230769234,12,34.26045,1.0,False,True
IND395023AAD,IND395006AAA,Surat_Central_I_4 (Gujarat),Surat_Varachha_DC (Gujarat),1.9230769230769231,27,15.0746,1.0,False,True
IND752055AAA,IND751002AAB,Khurdha_MunplDPP_D (Orissa),Bhubaneshwar_Hub (Orissa),1.9230769230769231,1,35.7081,1.0,True,True
IND302014AAB,IND303008AAB,Jaipur_Central_I_7 (Rajasthan),Dudu_NrainaRD_D (Rajasthan),1.923076923076923,5,73.9501,1.0,False,True
IND362001AAA,IND362265AAA,Junagadh_DPC (Gujarat),Veraval_DC (Gujarat),1.9223057644110275,2,79.90045,1.0,True,True
IND000000ACA,IND142401AAA,Ludhiana_MilrGanj_HB (Punjab),Khanna_DC (Punjab),1.9210526315789476,12,27.6177,0.9166666666666666,False,True
IND757001AAA,IND757041AAA,Baripada_KalikDPP_D (Orissa),Udala_NagplDPP_D (Orissa),1.9199363732767762,2,46.4456,1.0,True,True
IND581325AAA,IND580028AAA,Dandeli_RKComplx_D (Karnataka),Hubli_Adargchi_IP (Karnataka),1.9196504688832055,14,77.76525000000001,1.0,False,True
IND712311AAA,IND751002AAB,Kolkata_Dankuni_HB (West Bengal),Bhubaneshwar_Hub (Orissa),1.9193548387096773,27,434.5664,1.0,False,True
IND591115AAB,IND580028AAA,Kittur_ColageRD_D (Karnataka),Hubli_Adargchi_IP (Karnataka),1.916666666666667,2,58.072199999999995,1.0,True,True
IND600073AAA,IND603203AAA,Chennai_Selaiyur_DC (Tamil Nadu),Chennai_Potheri (Tamil Nadu),1.9166666666666667,1,15.6886,1.0,True,True
IND144401AAB,IND144001AAB,Phagwara_Lovely_D (Punjab),Jalandhar_DPC (Punjab),1.9166666666666667,17,13.179,1.0,False,True
IND563116AAA,IND563131AAB,Bethamangala_FshryOFC_D (Karnataka),Bangarapet_KolarRd_D (Karnataka),1.9166666666666665,14,17.99505,1.0,False,True
IND160002AAC,IND131028AAB,Chandigarh_Mehmdpur_H (Punjab),Sonipat_Kundli_H (Haryana),1.9154387833599624,12,182.03404999999998,1.0,False,True
IND342601AAA,IND342902AAA,Piparcity_BsstdDPP_D (Rajasthan),Gotan_DKLogDPP_D (Rajasthan),1.9142857142857144,3,39.0015,1.0,True,True
IND302014AAA,IND301001AAB,Jaipur_Hub (Rajasthan),Alwar_Central_I_1 (Rajasthan),1.9137931034482758,21,144.5915,1.0,False,True
IND462022AAA,IND000000ACB,Bhopal_Trnsport_H (Madhya Pradesh),Gurgaon_Bilaspur_HB (Haryana),1.9131577857823046,26,814.2094500000001,1.0,False,True
IND571301AAA,IND571111AAB,Nanjangud_RPRoad_D (Karnataka),Gundlupet_Swamylyt_D (Karnataka),1.9130434782608696,8,33.89045,1.0,False,True
IND306304AAB,IND311302AAA,Raipur_BypRDDPP_D (Rajasthan),Badnaur_BhmrdDPP_D (Rajasthan),1.9130434782608696,1,65.1454,1.0,True,True
IND110044AAB,IND201301AAF,Del_Okhla_PC (Delhi),Noida_Sec 02_DPC (Uttar Pradesh),1.9126984126984128,12,12.69995,1.0,False,True
