center,name,betweenness,in_degree,out_degree,in_degree_weighted,out_degree_weighted,clustering,avg_incoming_delay_factor,bottleneck_score
IND122413AAE,Gurgaon_Bilaspur_P (Haryana),0.0,1,0,1.8,0.0,0.0,1.8,0.0
IND243002AAA,Bareilly (Uttar Pradesh),0.0,1,0,2.2888888888888888,0.0,0.0,2.2888888888888888,0.0
IND110064AAB,KN_RPC (Delhi),0.0,1,0,2.092592592592593,0.0,0.0,2.092592592592593,0.0
IND482002AAA,Jabalpur (Madhya Pradesh),0.0,1,0,2.1538461538461537,0.0,0.0,2.1538461538461537,0.0
IND141010AAA,Ludhiana_DC (Punjab),0.0,0,1,0.0,2.1538461538461537,0.0,0.0,0.0
IND331023AAA,Rajgarh_SadulDPP_D (Rajasthan),0.0,1,0,1.9392091648189211,0.0,0.0,1.9392091648189211,0.0
IND274402AAA,Kushinagar_JiswlDPP_D (Uttar Pradesh),0.0,0,2,0.0,3.8784183296378423,1.0,0.0,0.0
IND302022AAD,Jaipur_RIICO_L (Rajasthan),0.0,1,1,1.690254089801601,1.9090909090909087,0.0,1.690254089801601,0.0
IND208017AAA,Kanpur_Central_D_5 (Uttar Pradesh),0.0,0,1,0.0,17.083333333333332,0.0,0.0,0.0
IND531116AAA,Narsiptnm_Wardno8_D (Andhra Pradesh),0.0,1,1,2.1538461538461537,2.1538461538461537,0.0,2.1538461538461537,0.0
IND733124AAA,Gangarmpur_KhdimDPP_D (West Bengal),0.0,1,0,2.0823004908370764,0.0,0.0,2.0823004908370764,0.0
IND600016AAA,Airport (Tamil Nadu),0.0,0,1,0.0,2.1538461538461537,0.0,0.0,0.0
IND451666AAA,Sendhwa_VishnuVhr_D (Madhya Pradesh),0.0,0,2,0.0,4.548965262379897,1.0,0.0,0.0
IND464001AAA,Vidisha_ShrprDPP_D (Madhya Pradesh),0.0,0,1,0.0,1.9392091648189211,0.0,0.0,0.0
IND345021AAA,Pokhran_SttinDPP_D (Rajasthan),0.0,2,1,3.8784183296378423,1.4818840579710144,1.0,1.9392091648189211,0.0
IND621306AAA,Manapparai_BypassRd_D (Tamil Nadu),0.0,0,1,0.0,1.3373538011695907,0.0,0.0,0.0
IND781001AAA,Guwahati_UzanBazr_DC (Assam),0.0,0,1,0.0,2.1538461538461537,0.0,0.0,0.0
IND000000ACS,BLR_HSR_Layout_PC (Karnataka),0.0,4,0,8.238756203473946,0.0,0.5,2.0596890508684864,0.0
IND110037AAB,Del_B_RPC (Delhi),0.0,1,0,4.421052631578948,0.0,0.0,4.421052631578948,0.0
IND403507AAB,Goa_Mapusa (Goa),0.0,1,1,2.1538461538461537,2.1538461538461537,0.0,2.1538461538461537,0.0
IND732139AAA,Samsi_RatuaDPP_D (West Bengal),0.0,1,0,2.1538461538461537,0.0,0.0,2.1538461538461537,0.0
IND321022AAA,Kaman_BsstdDPP_D (Rajasthan),0.0,1,1,1.5549242424242424,3.180722891566265,1.0,1.5549242424242424,0.0
IND560066AAB,Bengaluru_Whitefld_L (Karnataka),0.0,1,0,2.1538461538461537,0.0,0.0,2.1538461538461537,0.0
IND441107AAB,Savner_Wagodha_D (Maharashtra),0.0,1,0,2.702702702702702,0.0,0.0,2.702702702702702,0.0
IND151103AAA,RampuraPhul_DC (Punjab),0.0,1,0,1.9392091648189211,0.0,0.0,1.9392091648189211,0.0
IND333001AAA,Jhunjhunu_DC (Rajasthan),0.0,1,1,1.9392091648189211,1.9392091648189211,1.0,1.9392091648189211,0.0
IND444303AAA,Khamgaon_WamanDPP_D (Maharashtra),0.0,1,1,1.9392091648189211,1.9392091648189211,1.0,1.9392091648189211,0.0
IND560064AAD,Bengaluru_Bagaluru_D (Karnataka),0.0,0,1,0.0,2.571428571428572,0.0,0.0,0.0
IND302006AAA,Jaipur (Rajasthan),0.0,1,1,1.9393382352941178,4.583333333333333,0.0,1.9393382352941178,0.0
IND591126AAA,Saundatti_ShanthiS_D (Karnataka),0.0,0,1,0.0,1.9392091648189211,0.0,0.0,0.0
IND637211AAA,Tirchngode_Mhdhvpur_D (Tamil Nadu),0.0,1,1,1.5108695652173911,1.475409836065574,1.0,1.5108695652173911,0.0
IND396105AAA,Bhilad_Umargaon_DC (Gujarat),0.0,1,1,2.1538461538461537,2.1538461538461537,0.0,2.1538461538461537,0.0
IND843126AAA,Saraiya_Wardno4_D (Bihar),0.0,2,2,3.223110223110223,4.653846153846153,1.0,1.6115551115551114,0.0
IND431001AAA,Aurangabad (Maharashtra),0.0,1,0,3.0,0.0,0.0,3.0,0.0
IND401208AAA,Nalasopara (Maharashtra),0.0,1,0,2.555555555555556,0.0,0.0,2.555555555555556,0.0
IND126112AAA,Safidon_HatRDDPP_D (Haryana),0.0,0,1,0.0,2.376807511737089,0.0,0.0,0.0
IND781022AAA,Guwahati_Sixmile (Assam),0.0,1,1,1.135135135135135,1.1294117647058823,0.0,1.135135135135135,0.0
IND841207AAB,Dighwara_SadarHPL_D (Bihar),0.0,2,0,3.8784183296378423,0.0,0.0,1.9392091648189211,0.0
IND411043AAA,Pune Balaji Nagar (Maharashtra),0.0,1,1,2.1538461538461537,2.1538461538461537,0.0,2.1538461538461537,0.0
IND600044AAC,Chennai_Chrompet_PC (Tamil Nadu),0.0,3,0,6.298705192668041,0.0,0.0,2.099568397556013,0.0
IND751021AAA,Bhubaneswar_Patia (Orissa),0.0,0,0,0.0,0.0,0.0,0.0,0.0
IND621211AAA,Musiri_ThryrRD_D (Tamil Nadu),0.0,0,1,0.0,1.7727272727272727,0.0,0.0,0.0
