source_center,destination_center,route_type,overall_median_factor,total_trips,median_osrm_dist,median_osrm_time,pct_delayed
IND126116AAA,IND131301AAA,FTL,2.819672131147541,5,83.2686,61.0,1.0
IND127021AAA,IND127201AAA,FTL,1.8421052631578947,8,55.09065,38.5,1.0
IND127201AAA,IND124141AAA,FTL,2.4375,3,48.4122,34.0,1.0
IND131021AAA,IND131028AAA,Carting,1.7272727272727273,53,13.0893,11.0,0.8867924528301887
IND131028AAB,IND000000ACB,Carting,1.906426400347373,86,89.73310000000001,97.0,0.9883720930232558
IND131028AAB,IND110037AAM,Carting,2.2758620689655173,7,47.9002,57.0,1.0
IND131028AAB,IND124001AAB,FTL,1.778846153846154,4,65.80325,54.5,1.0
IND131028AAB,IND124507AAA,FTL,1.9404761904761905,10,36.71885,42.0,1.0
IND131028AAB,IND132103AAA,FTL,5.326923076923077,2,59.6565,46.0,1.0
IND131028AAB,IND136118AAA,FTL,1.9893617021276595,17,128.69639999999998,95.0,1.0
IND131028AAB,IND160002AAC,FTL,1.7595419847328244,30,181.91680000000002,130.0,1.0
IND131028AAB,IND201204AAA,FTL,2.0851063829787235,9,62.7057,47.0,1.0
IND131028AAB,IND244001AAA,FTL,1.944099378881988,19,201.2372,159.0,1.0
IND131028AAB,IND244235AAA,FTL,1.7603305785123966,21,153.4476,121.0,1.0
IND131028AAB,IND247667AAA,FTL,1.9640287769784173,5,163.0853,139.0,1.0
IND131028AAB,IND247667AAB,FTL,1.9285714285714288,15,163.7663,140.0,1.0
IND131028AAB,IND248001AAA,FTL,1.7934272300469485,2,245.63925,213.0,1.0
IND131028AAB,IND248001AAD,FTL,1.8726415094339623,1,245.6096,212.0,1.0
IND131028AAB,IND249407AAA,FTL,1.8666666666666667,1,196.1742,180.0,1.0
IND131028AAB,IND250002AAA,FTL,1.808219178082192,1,89.5733,73.0,1.0
IND131028AAB,IND250002AAC,FTL,5.625,1,89.7878,72.0,1.0
IND131028AAB,IND250609AAA,FTL,2.9545454545454546,1,24.9115,22.0,1.0
IND131028AAB,IND250611AAA,FTL,3.3142857142857145,3,38.9892,35.0,1.0
IND131028AAB,IND251001AAA,FTL,1.930565088080531,10,117.0308,95.0,1.0
IND131028AAE,IND124507AAA,FTL,1.7333333333333334,1,42.7911,45.0,1.0
IND131301AAA,IND131028AAB,FTL,3.0358974358974358,2,55.265699999999995,39.5,1.0
IND132001AAA,IND131028AAB,FTL,3.664473684210526,2,95.79400000000001,76.0,1.0
IND132001AAA,IND132103AAA,FTL,3.147058823529412,1,38.0852,34.0,1.0
IND132001AAA,IND132103AAB,FTL,4.0588235294117645,3,37.5003,32.0,1.0
IND132103AAA,IND131028AAB,FTL,2.913793103448276,3,59.3272,45.0,1.0
IND132103AAA,IND132001AAA,FTL,1.7714285714285714,5,39.1595,35.0,1.0
IND132103AAB,IND131028AAB,FTL,3.2981601731601726,6,58.072900000000004,44.0,1.0
IND132103AAB,IND132001AAA,FTL,1.496969696969697,2,39.8086,31.5,1.0
IND133004AAA,IND135001AAA,FTL,1.660774410774411,6,56.6245,54.0,1.0
IND134102AAA,IND174103AAA,FTL,2.75,16,19.85415,14.0,1.0
IND134109AAA,IND160002AAC,Carting,12.83783783783784,15,43.66,37.0,1.0
IND134203AAA,IND140501AAA,Carting,1.575,14,48.934200000000004,40.0,1.0
IND134203AAA,IND160002AAC,Carting,3.324324324324324,1,45.1598,37.0,1.0
IND135001AAA,IND173025AAA,FTL,2.326010101010101,12,58.38055,45.0,1.0
IND136027AAA,IND132039AAA,FTL,1.8235294117647056,21,39.400400000000005,34.0,1.0
IND136118AAA,IND136128AAA,FTL,1.4001322751322751,22,28.10095,27.5,1.0
IND136128AAA,IND136027AAA,FTL,2.0954545454545457,22,28.820050000000002,20.0,1.0
IND140001AAA,IND140118AAA,FTL,1.7575757575757576,19,39.9061,33.0,1.0
IND140118AAA,IND160002AAC,FTL,1.6,17,108.2867,104.0,1.0
IND140301AAA,IND140001AAA,FTL,1.6666666666666667,21,26.4948,24.0,1.0
IND140301AAA,IND140901AAA,Carting,2.066666666666667,19,15.2782,14.0,1.0
IND140401AAA,IND000000ACA,FTL,2.814814814814815,3,74.1838,52.0,1.0
IND140401AAA,IND142401AAA,FTL,1.5757575757575757,3,44.9258,33.0,1.0
IND140401AAA,IND147301AAA,FTL,1.4782608695652173,1,32.8339,23.0,1.0
IND140406AAA,IND140401AAA,FTL,1.5833333333333333,7,30.5845,24.0,0.7142857142857143
IND140501AAA,IND160002AAC,Carting,2.514705882352941,14,19.6787,16.0,1.0
IND140901AAA,IND160002AAC,Carting,1.8390379278445885,20,57.18415,47.0,1.0
IND140901AAA,IND160055AAA,Carting,1.7857142857142858,20,13.593599999999999,14.0,1.0
IND141003AAB,IND000000ACA,Carting,1.813186813186813,2,13.35745,10.0,1.0
IND141003AAB,IND141109AAA,FTL,1.0,1,47.3357,47.0,0.0
IND141003AAB,IND142026AAA,FTL,1.6774193548387095,21,40.7157,31.0,1.0
IND141010AAA,IND000000ACA,Carting,1.818181818181818,1,15.531,11.0,1.0
IND141109AAA,IND000000ACA,FTL,1.2916666666666665,18,59.772549999999995,56.5,0.5555555555555556
IND141115AAA,IND000000ACA,FTL,1.4488095238095235,14,29.4784,30.0,0.8571428571428571
IND142001AAB,IND151001AAA,FTL,2.6515151515151514,1,85.58139999999999,66.0,1.0
IND142001AAB,IND152026AAA,FTL,1.6451612903225807,29,79.5451,62.0,1.0
IND142026AAA,IND000000ACA,FTL,2.75,1,54.4594,40.0,1.0
IND142026AAA,IND141109AAA,FTL,1.436904761904762,18,23.547849999999997,35.0,1.0
IND142401AAA,IND000000ACA,FTL,1.875,6,28.5001,20.0,1.0
IND143001AAA,IND144001AAB,FTL,2.272727272727273,19,85.8845,63.0,1.0
IND144001AAA,IND144040AAA,FTL,1.8723684210526317,16,26.034100000000002,19.5,1.0
IND144001AAB,IND000000ACA,FTL,2.358490566037736,23,75.6466,53.0,1.0
IND144001AAB,IND143001AAA,FTL,1.5,17,85.1994,63.0,1.0
IND144001AAB,IND144401AAB,Carting,2.0,13,14.4596,14.0,0.9230769230769231
IND144001AAB,IND144601AAA,FTL,3.6875,3,19.5231,16.0,1.0
IND144001AAB,IND160002AAC,FTL,5.810344827586207,1,162.17829999999998,116.0,1.0
IND144001AAC,IND000000ACA,Carting,1.649122807017544,1,76.2764,57.0,1.0
IND144001AAC,IND000000ACA,FTL,1.9245283018867925,11,71.1327,53.0,1.0
IND144001AAC,IND160002AAC,Carting,2.544642857142857,15,159.83229999999998,112.0,1.0
IND144040AAA,IND144001AAB,FTL,2.13125,10,27.092750000000002,19.0,1.0
IND144401AAB,IND144001AAB,Carting,1.9166666666666667,17,13.179,11.0,1.0
IND144514AAA,IND000000ACA,FTL,1.7241379310344829,1,55.3215,58.0,1.0
IND144514AAA,IND141115AAA,FTL,1.75,5,26.1322,28.0,1.0
IND144527AAA,IND141115AAA,FTL,1.8676470588235294,4,34.76015,34.0,1.0
IND144601AAA,IND144001AAA,FTL,2.0018382352941178,2,21.46695,16.5,1.0
IND144601AAA,IND144040AAA,FTL,1.7586206896551724,1,41.5967,29.0,1.0
IND145001AAA,IND176201AAA,FTL,1.7916666666666667,7,17.6282,22.0,1.0
IND145001AAA,IND176303AAA,FTL,1.1844660194174756,1,78.1911,103.0,0.0
IND147001AAB,IND147201AAA,FTL,1.3205619412515965,6,27.10445,28.0,0.8333333333333334
IND147001AAB,IND160002AAC,FTL,7.090909090909091,7,45.262800000000006,33.0,1.0
IND147001AAD,IND147201AAA,FTL,1.5,1,26.912,28.0,1.0
IND147001AAD,IND148023AAA,FTL,1.253968253968254,1,58.9258,63.0,1.0
IND147001AAD,IND160002AAC,FTL,4.193548387096774,5,45.5683,33.0,1.0
IND147101AAA,IND147105AAA,FTL,1.4166666666666667,7,26.8678,24.0,1.0
IND147101AAA,IND160002AAC,FTL,7.017241379310345,1,76.0523,58.0,1.0
IND147105AAA,IND147101AAA,FTL,1.4230769230769231,1,28.1092,26.0,1.0
IND147105AAA,IND160002AAC,FTL,8.411764705882353,7,105.6492,85.0,1.0
IND147201AAA,IND148023AAA,FTL,1.121212121212121,6,30.414450000000002,33.0,0.16666666666666666
IND147301AAA,IND000000ACA,FTL,1.5333333333333334,1,36.9875,30.0,1.0
IND147301AAA,IND140401AAA,FTL,1.3333333333333333,1,39.0861,30.0,1.0
IND148023AAA,IND148001AAA,FTL,1.3408045977011493,2,32.92355,29.5,1.0
IND148023AAA,IND148024AAB,FTL,2.0,1,19.4578,18.0,1.0
IND148028AAA,IND147001AAB,FTL,1.8113207547169812,10,65.09275,53.0,1.0
IND148028AAA,IND147001AAD,FTL,1.7980769230769234,2,63.2515,51.5,1.0
IND148102AAA,IND151001AAA,FTL,1.827586206896552,1,68.315,58.0,1.0
IND151001AAA,IND148101AAA,FTL,1.223609872137972,8,60.82,57.5,0.5
IND151001AAA,IND151103AAA,FTL,1.4735449735449735,4,28.423949999999998,27.0,1.0
IND151001AAA,IND151302AAA,FTL,0.8292682926829268,11,54.5126,41.0,0.09090909090909091
IND151001AAA,IND160002AAC,FTL,1.5345911949685536,21,203.2861,159.0,1.0
IND151103AAA,IND151001AAA,FTL,15.672364672364672,2,28.80985,26.5,1.0
IND151302AAA,IND151505AAA,FTL,0.8947368421052632,15,43.9908,38.0,0.06666666666666667
IND151505AAA,IND151506AAA,FTL,1.7692307692307692,5,33.994699999999995,27.0,0.6
